Accession_Name	Description	Synonyms	Availability	Shape	Size	Height	Width	Ribbing	Ground_Colour	Over_Colour	Over_Colour_P	Crunch	Flesh_Colour	Flowering	Picking	Russet	Crown	Coarseness
Ashmead's Kernel (EMLA H6501/6B)	Raised in about 1700 by Dr Ashmead, Gloucester. It received a First Class Certificate from the Royal Horticultural Society in 1981. Fruits have firm, juicy flesh with a rich aromatic flavour.	Aschmead's Saemling, Aschmead's Seedling, Ashmead's Saemling, Ashmead's Samling, Ashmead's Seedling, Doctor Ashmead's Kernel, Dr Ashmead's Kernel, Samling von Ashmead, Semis d'Aschmead, Semis d'Ashmead, Seyanets Ashmida	Material available from the National Fruit Collection.	Broad globose conical	medium	70.00	65.00	weak-medium	Green yellow	Brown			Yellowish	9th May10% flowering, 14th MayFull (80%) flowering, 22nd May90% petal fall	Early October	high-very high		
Astillisch	Raised in 1929 at the former Kaiser-Wilhelm Institut, Muncheberg, Germany. Fruits have soft, juicy flesh and can be rather acid.		Material available from the National Fruit Collection.		large				Yellow	Dark Red				3rd May10% flowering, 8th MayFull (80%) flowering, 16th May90% petal fall	Mid August		medium	
Astrachan Large Fruited	Found in the 1850s near Stockholm, Sweden by E. Lindgren and introduced by him in the early 1860s. Fruits have firm, cream flesh with a sweet and subacid flavour.	Klarapple, Lindgrens Astrakan, Stor Klar Astrakan	Material available from the National Fruit Collection.	Flat globose	medium-large	62.00	70.50	strong	Green yellow		striped		Cream	28th April10% flowering, 4th MayFull (80%) flowering, 11th May90% petal fall	Early August			coarse
Astramel	Raised in 1993 at the Fruit Research Station, Jork, Hamburg, Germany. Fruits have sweet, rather melting flesh.		Material in the National Fruit Collection not currently available.											23rd April10% flowering, 25th AprilFull (80%) flowering, 5th May90% petal fall	August			
Atalanta (Netherlands)	Raised in 1935 by Professor Sprenger at Wageningen, The Netherlands. Fruits have firm flesh with an aromatic flavour.	Atalanta	Material available from the National Fruit Collection.	Globose conical	medium	66.73	68.29	weak-medium	Whitish yellow	Red			White	9th May10% flowering, 13th MayFull (80%) flowering, 20th May90% petal fall	Late September	low	absent	coarse
Atlas	Raised at the Central Experimental Farm, Ottawa, Canada from seed sown in 1898. Introduced in about 1924. Fruits have juicy, soft flesh with a subacid flavour.		Material available from the National Fruit Collection.	Truncate conical	medium			medium-strong	Whitish yellow	Orange	striped	crisp	White	4th May10% flowering, 8th MayFull (80%) flowering, 14th May90% petal fall	Early September			
Auralia	Raised at the former Kaiser-Wilhelm Institut, Muncheberg, Germany. Received by the National Fruit Trials in 1967. Fruits have a sweet subacid, aromatic and perfumed flavour.	Tumanga	Material available from the National Fruit Collection.											9th May10% flowering, 14th MayFull (80%) flowering, 21st May90% petal fall	late september			
Autumn Arctic	Originated from U.S.A. where it arose from a pile of chicken house litter on a farm in Vermont. Fruits have sweet, soft flesh with a little flavour. It is reputed to have some resistance to scab.		Material available from the National Fruit Collection.	Flat globose	medium-large			weak-medium	Whitish yellow	Red			Yellowish	7th May10% flowering, 12th MayFull (80%) flowering, 18th May90% petal fall	Mid September	low	weak-medium	
Autumn Harvest	Thought to have originated in Westmorland. Recorded in 1934. Fruits have firm, tender, coarse, dry flesh with a subacid flavour. Flesh tends to brown very quickly once cut.		Material available from the National Fruit Collection.	Oblong	large	62.22	70.55	weak	Green yellow	n/a			Greenish	5th May10% flowering, 9th MayFull (80%) flowering, 15th May90% petal fall	Late August	low	weak	coarse
Autumn Pearmain	Originated in England and known to have been in existence in the late 1500s. The trees at Brogdale are indistinguishable from Herefordshire Pearmain. A dessert apple of quite reasonable quality as a garden variety. Fruit has a pleasant, slightly aromatic flavour.	Alexander Russet, American Pearmain, Arthur Sheen, Drue Pearmain, Drue Pearmein, Drue Summer Pearmain, Drue-Parmain, Drue-Pearmain, Drue-Permein, Drue-Sommer Pearmain, Englische Birn Reinette, Englische Birn-Reinette, Englische Birnreinette, Englische Birnrenette, Englische Koenigsparmane, Englische Konig's Pearmain, Englische Konigs Pearmane, English Summer Pearmain, Geflammter Butterapfel, Gestreifte Sommer Parmane, Gestreifte Sommer Pearmaine, Gestreifte Sommer-Parmane, Herbstparmane, Hostparman, Juden Reinette, Judenhaut Apfel, Parmain d'Ete, Parman, Parmen Letnii, Parmena Letni, Pearmain d'Automne, Pearmain d'Ete, Pearmain rayee d'ete, Peppin Parmain d'Ete, Peppin Parmaine d'Ete, Platomelum, Pomme-Poire d'Ete, Royal Pearmain (erroneous), Royal Pearmain d'Ete, Schleswiger Erdbeer Apfel, Schleswiger Erdbeerapfel, Schleswiger Jordbaeraeble, Sigler's Red, Slesvigsk Jordbaeraeble, Smultronparman, Sommarparman, Sommer Parmane, Sommer-Parmaine, Sommer-Parmane, Striee d'Ete, Summer Pearmain, Summer Pippin	Material available from the National Fruit Collection.	Truncate conical	medium-large	70.00	70.00	medium	Yellow	Red			Yellowish	8th May10% flowering, 12th MayFull (80%) flowering, 19th May90% petal fall	Late September	low-medium		
Averdal	A sport of Red King Delicious. Fruits have firm, juicy, very sweet flesh with a highly aromatic flavour.		Material in the National Fruit Collection not currently available.											25th April10% flowering, 28th AprilFull (80%) flowering, 6th May90% petal fall	mid october			
Baker's Delicious	Found in Wales and introduced in 1932 by Bakers of Codsall, Wolverhampton. Fruits are firm, crisp and juicy with a good aromatic flavour.		Material available from the National Fruit Collection.	Truncate conical	medium	50.00	60.00	weak	Yellow	Orange	streaked	crisp	Cream	1st May10% flowering, 7th MayFull (80%) flowering, 14th May90% petal fall	Early September			fine
Balder	Raised in 1950 by A.A. Schaap at the Institute of Horticultural Plant Breeding, Wageningen, The Netherlands. Fruits are very similar to James Grieve.		Material available from the National Fruit Collection.	Broad globose conical	medium			medium	Yellow	Red				7th May10% flowering, 12th MayFull (80%) flowering, 19th May90% petal fall	Mid September			
Baldwin	Triploid. A chance seedling found on the farm of John Ball, Wilmington, Massachusetts, U.S.A. in about 1740. Introduced by Colonel Baldwin in about 1780. Fruits are coarse textured and juicy but lack flavour. It was once an important commercial variety in the U.S.A.	American Baldwin, Baldwin Rosenapfel, Baldwin's Apfel, Baldwin's Roter Pepping, Baldwin's rother Pepping, Baldwin's Rother Pippin, Beldvin, Butter's, Butter's Woodpecker, Butters, Butters' Red Baldwin, Calville Butter, Calville Buttner, Felch, Late Baldwin, Pecker, Pepin Rouge de Baldwin, Peppin rouge de Baldwin, Red Baldwin, Red Baldwin Pippin, Red Baldwin's Pippin, Stecle's Red Winter, Steele's Red Winter, Woodpecker	Material available from the National Fruit Collection.	Truncate conical	medium-large	63.00	76.50		Yellow	Orange	striped		Yellowish	7th May10% flowering, 11th MayFull (80%) flowering, 17th May90% petal fall	Mid October			coarse
Ball's Pippin	Introduced in 1923 by J.C.Allgrove, Langley, Bucks. Received an Award of Merit from the Royal Horticultural Society in 1923. Fruits are sweet and crisp.	Lane's Oakland Seedling	Material available from the National Fruit Collection.	Broad globose conical	large	64.00	78.00	medium	Green yellow	Orange		crisp	Cream	7th May10% flowering, 11th MayFull (80%) flowering, 18th May90% petal fall	Early October			
Ballarat Seedling	Found at Ballarat, Victoria, Australia in the garden of Mrs Stewart. Known in the early 1900s. Fruits have coarse, hard flesh with a subacid flavour.	Ballarat, Stewart's, Stewart's Ballarat Seedling, Stewart's Seedling	Material available from the National Fruit Collection.	Oblong	large	67.00	77.00		Green yellow	Pink			Greenish	5th May10% flowering, 9th MayFull (80%) flowering, 17th May90% petal fall	Late October	very low		coarse
Ballard Beauty	Raised in 1946 at Bedford by A. Norman. Fruits are sweet, crisp and juicy.		Material available from the National Fruit Collection.	Broad globose conical	medium-large	57.00	70.50	weak	Green yellow	Red		crisp	White	3rd May10% flowering, 9th MayFull (80%) flowering, 16th May90% petal fall	Early October			
Ballyfatten	Originated from Northern Ireland. First recorded in 1802. Fruits have firm, white flesh with an acid flavour.	Bally Fatten	Material available from the National Fruit Collection.	Broad globose conical	medium	55.34	69.85	medium	Whitish yellow	Pink			White	13th May10% flowering, 17th MayFull (80%) flowering, 24th May90% petal fall	Late September	low	medium	
Bancroft	Originated in Ottawa, Canada by the Division of Horticulture Experimental Farm. It was selected in 1930 and introduced in about 1935. Fruits have firm, greenish white flesh with a subacid flavour.	Bankroft	Material available from the National Fruit Collection.	Broad globose conical	large	71.41	78.90	weak-medium	Whitish yellow	Red		crisp	Cream	2nd May10% flowering, 7th MayFull (80%) flowering, 13th May90% petal fall	Mid October	low	medium	fine
Banffy Pal	Thought to have probably originated in Hungary. Received by the National Fruit Trials in 1948. Fruits have a sweet to subacid flavour.		Material available from the National Fruit Collection.	Flat globose	medium	62.50	67.00	weak	Green	Brown			Greenish	2nd May10% flowering, 7th MayFull (80%) flowering, 13th May90% petal fall	Late October	very low		
Banns	Availability		Material available from the National Fruit Collection.	Flat	large	60.00	85.00	weak	Yellow				Yellowish	8th May10% flowering, 13th MayFull (80%) flowering, 23rd May90% petal fall	Mid September			
Banziger	An American variety which was introduced in about 1890 to Switzerland as 'Amerikaner'. Fruits have sweet, softish flesh.	Amerikaner, I'Americaine, Simonler	Material available from the National Fruit Collection.	Narrow conical	medium	65.00	70.00	medium	Green yellow	Pink			Greenish	5th May10% flowering, 10th MayFull (80%) flowering, 16th May90% petal fall	Mid October	very low		fine
Barchard's Seedling	Raised in Putney, London by Mr Higgs, gardener to R. Barchard. It was introduced in 1856 by A. Dancer. Received a First Class Certificate from the Royal Horticultural Society in 1873. Fruits are crisp with a sweet to subacid flavour.		Material available from the National Fruit Collection.	Flat globose	medium	55.00	64.50	medium	Yellow	Red	striped	crisp	White	4th May10% flowering, 10th MayFull (80%) flowering, 19th May90% petal fall	Late September	low		fine
Barkley Red Rome	A more highly coloured clone of Rome Beauty which was discovered in 1944 by G.L. Barkley, Manson, Washington, U.S.A. Introduced in 1953. Fruits are rather coarse-textured, juicy but with little flavour.		Material available from the National Fruit Collection.		small-medium					Red				17th May10% flowering, 21st MayFull (80%) flowering, 27th May90% petal fall	Mid October	very low		
Barnack Beauty	Raised at Barnack, Northamptonshire in about 1840 and introduced in about 1870 by Brown of Stamford. Received an Award of Merit from the Royal Horticultural Society in 1899 and a First Class Certificate in 1909. Fruits are sweet, crisp and juicy with a good flavour.	Barnack, Barnacké jablko, Beckford Beauty, Piekna z Barnaku	Material available from the National Fruit Collection.	Globose conical	medium			very weak	Yellow	Red			White	7th May10% flowering, 13th MayFull (80%) flowering, 21st May90% petal fall	Early October		very weak	
Barnack Beauty sport	A more highly coloured sport of Barnack Beauty which was discovered in 1944 by George Lamb, Swanley, Kent. Fruits, like Barnack Beauty, are sweet, crisp and juicy with a good flavour.		Material available from the National Fruit Collection.	Globose conical	small-medium			very weak	Whitish yellow	Red		crisp	Cream	6th May10% flowering, 13th MayFull (80%) flowering, 21st May90% petal fall	Early October	low	very weak	
Barnack Orange	Raised in 1904 at Belvoir Castle, England by W. H. Divers. Fruits have firm, rather coarse-textured flesh, with a little juice and a good aromatic flavour.		Material available from the National Fruit Collection.	Flat globose	medium	57.00	63.00	medium	Yellow	Red	striped		Cream	3rd May10% flowering, 9th MayFull (80%) flowering, 17th May90% petal fall	Early October			
Barnhill Pippin	Originated from Northern Ireland. Recorded in 1934. Fruits are crisp with a subacid flavour.		Material available from the National Fruit Collection.	Flat	medium-large	57.50	74.50	medium	Yellow	Red	striped	crisp	White	5th May10% flowering, 9th MayFull (80%) flowering, 16th May90% petal fall	Late September			fine
Baron Ward	Raised at Elton Manor, Nottingham by Samuel Bradley in 1850. First exhibited in 1859. Fruits have soft, white flesh with an astringent flavour.		Material available from the National Fruit Collection.	Truncate conical	small	50.00	55.00	medium	Yellow	Orange	striped		White	7th May10% flowering, 12th MayFull (80%) flowering, 19th May90% petal fall	Mid October			
Baron Wood	Availability		Material available from the National Fruit Collection.	Flat	large	52.88	71.90	weak-medium	Whitish yellow	Orange		crisp	Cream	3rd May10% flowering, 9th MayFull (80%) flowering, 17th May90% petal fall	Mid September	low	weak	
Barraude	Availability		Material available from the National Fruit Collection.	Truncate conical	medium-large	50.50	70.00	medium	Green yellow	Orange		crisp	White	9th May10% flowering, 15th MayFull (80%) flowering, 22nd May90% petal fall	Late October	low		fine
Barre (Seine & Marne)	An apple of French origin. Described in 1948. Fruits are sweet, hard and juicy with white flesh.		Material available from the National Fruit Collection.	Broad globose conical	medium	50.00	65.00	weak	Yellow	Red	striped		White	15th May10% flowering, 21st MayFull (80%) flowering, 1st June90% petal fall	Late October			
Barry	Raised at the New York State Agricultural Experiment Station, Geneva, U.S.A. Selected in 1936 and introduced commercially in 1957. Fruits are firm and sweet with an aromatic flavour.		Material available from the National Fruit Collection.	Flat globose	medium-large	53.00	69.50	medium	Green yellow	Brown			Greenish	9th May10% flowering, 13th MayFull (80%) flowering, 20th May90% petal fall	Mid September	very low		coarse
